학원명,학원주소,Latitude,Longitude,가점척도,,,,,,,,,,,,,,,
슈만클라라음악학원,"대구광역시 수성구 청수로 235 , 3층 310-1호 (황금동, 캐슬골드파크 2단지)",35.84194,128.6338591,2,,,,,,,,,,,,,,,
메가컴퓨터학원,대구광역시 수성구 달구벌대로647길 20-3   3층 (신매동),35.8405504,128.7116797,2,,,,,,,,,,,,,,,
종로엠입시학원,"대구광역시 수성구 달구벌대로 3196 , 3층 일부 (신매동, 대구은행 시지지점)",35.8402193,128.7062412,2,,,,,,,,,,,,,,,
수도학원,"대구광역시 동구 아양로49길 2 , 3층 (신암동)",35.8823808,128.6193351,2,,,,,,,,,,,,,,,
통문관입시학원,대구광역시 동구 송라로 81   5층 (신천동),35.8742115,128.6175406,2,,,,,,,,,,,,,,,
이아이이(EIE)남산어학원,"대구광역시 중구 남산로 35 , 2층 (남산동, 웨딩산호)",35.8596911,128.5823846,2,,,,,,,,,,,,,,,
청산학원,대구광역시 수성구 달구벌대로 2489   4층 (범어동),35.8585491,128.6414973,2,,,,,,,,,,,,,,,
리틀지니어스외국어학원,대구광역시 중구 동덕로30길 136   외 1필지 1~3층 (삼덕동3가),35.8657502,128.6111478,2,,,,,,,,,,,,,,,
동구외대어학원,대구광역시 동구 안심로41길 36   2층 (서호동),35.8693283,128.708647,2,,,,,,,,,,,,,,,
명인진학원,대구광역시 수성구 청호로 466   외1필지효성백년가약궁상가동101~103 (범어동),35.8565773,128.6431911,2,,,,,,,,,,,,,,,
시지문깡잉한외국어학원,"대구광역시 수성구 고산로18길 3 , 6층 (신매동, 세흥빌딩)",35.839279,128.7050312,2,,,,,,,,,,,,,,,
하이스트입시학원,대구광역시 동구 팔공로 168   3층 (불로동),35.9113875,128.6381333,2,,,,,,,,,,,,,,,
헤윰수학학원,대구광역시 수성구 달구벌대로 2614   3층 (만촌동),35.858915,128.644821,2,,,,,,,,,,,,,,,
잉글리쉬타운영어학원,대구광역시 수성구 지범로 205   4층 (범물동),35.8203376,128.6415106,2,,,,,,,,,,,,,,,
오르세음악학원,대구광역시 수성구 범안로2길 3-11   1층 (범물동),35.8168703,128.6393094,2,,,,,,,,,,,,,,,
꼬마고호미술학원,"대구광역시 동구 아양로39길 36 , 2층 (신암동)",35.8887341,128.6336883,2,,,,,,,,,,,,,,,
흑과백미술학원,"대구광역시 중구 중앙대로 279 (남산동,바로크악기)",35.8582701,128.5909827,2,,,,,,,,,,,,,,,
