사업장명,소재지전체주소,Latitude,Longitude
올레노래연습장,대구광역시 서구 내당동 884-5번지 지하1층,35.8624054,128.5702679
베트남 뮤직 노래연습장,대구광역시 서구 비산동 1368-4번지,35.8857306,128.5577821
통통동전노래연습장,대구광역시 서구 평리동 1097-3번지 2층,35.8717406,128.5591708
씽씽쏭쏭 동전 노래연습장,대구광역시 서구 비산동 286-10번지 2층,35.8674113,128.571596
코인의행복 노래연습장,대구광역시 서구 내당동 897-12번지,35.863866,128.5713037
아시아노래연습장,대구광역시 서구 비산동 1370-8번지 지하 1층,35.8850121,128.5574215
쌍쌍노래연습장,대구광역시 서구 내당동 899-21번지,35.8650878,128.5713955
신한국노래연습장,대구광역시 서구 평리동 1450-1번지,35.863252,128.5536284
히트노래연습장,대구광역시 서구 비산동 2811번지,35.8767283,128.5776033
양지 노래연습장,대구광역시 서구 원대동3가 1430-5번지 지하1층,35.8852374,128.5735283
