사업장명,소재지전체주소,Latitude,Longitude
대박오락실,대구광역시 남구 대명동 1122-1번지,35.8377926,128.5596214
블랙홀인형뽑기방,대구광역시 남구 봉덕동 687-6번지,35.8426398,128.5978318
이층집뽑기방,대구광역시 남구 대명동 2132-2번지,35.8556868,128.5819457
정선게임랜드,대구광역시 남구 봉덕동 543-23번지,35.8449854,128.6008306
봉황게임랜드,대구광역시 남구 봉덕동 610-18번지,35.8444048,128.5985104
대명게임장랜드,대구광역시 남구 대명동 58-6번지,35.8450425,128.5892993
보물섬,대구광역시 남구 대명동 898-9번지,35.8377912,128.5751813
봉덕게임장,대구광역시 남구 봉덕동 686-1번지,35.8435459,128.597946
해피토이,대구광역시 남구 대명동 140-20번지,35.844484,128.5868343
플레이존,대구광역시 남구 대명동 809-7번지,35.8395507,128.5747833
온가족놀이터,대구광역시 남구 봉덕동 1064-58번지,35.8383251,128.6025315
본전뽑고,대구광역시 남구 대명동 64-1번지,35.8449226,128.5891202
룰루랄라,대구광역시 남구 봉덕동 547-16번지,35.8475812,128.5961142
땡큐게임랜드,대구광역시 남구 대명동 1226-9번지,35.8387084,128.5586438
룰루랄라뽑기,대구광역시 북구 산격동 1218-14번지,35.8984985,128.6068787
선수입장,대구광역시 북구 태전동 973-3번지,35.9268007,128.5472061
뽑기왕,대구광역시 북구 태전동 421-6번지,35.9248816,128.5474577
뽑기왕,대구광역시 북구 사수동 959번지,35.9012052,128.5127602
뽀끼랜드,대구광역시 북구 산격동 1235-23번지,35.8985636,128.6073733
챌린져샵,대구광역시 북구 산격동 749-16번지,35.8999935,128.5965169
킹멀티오락실,대구광역시 북구 동천동 903-4번지,35.943538,128.5599226
노다지게임랜드,대구광역시 북구 노원동2가 369-2번지,35.8885128,128.5718107
뽑기박사,대구광역시 북구 태전동 206-25번지,35.9201872,128.5447771
뽑기방,대구광역시 북구 사수동 963번지,35.9012052,128.5127602
행운오락실,대구광역시 북구 학정동 928-6번지,35.9519607,128.5672173
인형짱,대구광역시 북구 대현동 329-8번지,35.877928,128.6073852
뽀바샵(#),대구광역시 북구 고성동3가 6-98번지,35.8812544,128.5828924
인형뽑기,대구광역시 북구 동천동 910-4번지,35.942445,128.5625495
토이랜드,대구광역시 북구 태전동 983-4번지,35.9265848,128.5467369
뽑기다뽑기,대구광역시 북구 태전동 976-9번지,35.9268224,128.5446287
알라딘,대구광역시 북구 태전동 220-1번지 1층 102호,35.9255596,128.5456206
인형천국,대구광역시 북구 태전동 253-5번지 1층,35.9255446,128.5439694
뽑고뽑고게임장,대구광역시 북구 복현동 428-1번지 1층,35.894863,128.6176001
짱구게임방,대구광역시 북구 노원동1가 4-3번지 1층,35.8899521,128.5804839
환타지아,대구광역시 북구 관음동 1241-15번지,35.9450603,128.5466358
매천샵,대구광역시 북구 매천동 684번지 1층,35.9086418,128.5422916
메가게임장,대구광역시 북구 동천동 895-2번지,35.9440704,128.5617198
쿠키코인,대구광역시 북구 침산동 10-1번지,35.8846797,128.5982296
삼성게임장,대구광역시 북구 태전동 584-15번지,35.918701,128.5502827
삼돌이오락실,대구광역시 북구 매천동 476-8번지,35.9045637,128.5404103
신태전오락실,대구광역시 북구 태전동 1074-6번지,35.9253049,128.54852
뽑기오빠,대구광역시 북구 태전동 542-1번지 태전동남영아파트,35.9178738,128.5490594
신팔달게임랜드,대구광역시 북구 노원동2가 197-1번지,35.8914551,128.5721155
뽑기오빠,대구광역시 북구 관음동 600-2번지,35.9375771,128.5445606
크리드샷,대구광역시 북구 동천동 900-1번지,35.9430234,128.5610773
북문놀이터,대구광역시 북구 산격동 1327-7번지,35.8930566,128.6089728
해피토이,대구광역시 북구 동천동 902-2번지 호수빌딩,35.9430962,128.5605358
서문게임랜드,대구광역시 북구 동천동 907-2번지,35.9425041,128.5591705
해피게임랜드,대구광역시 북구 노원동3가 742번지,35.8894357,128.565351
황금게임랜드,대구광역시 북구 노원동3가 775번지,35.8890325,128.5680829
대경오락실,대구광역시 북구 대현동 415-34번지,35.8843805,128.6052404
토이팡팡,대구광역시 북구 노원동1가 6-9번지,35.8899504,128.5795313
픽미샵,대구광역시 북구 동천동 898-2번지,35.9429129,128.5619654
짱구게임장,대구광역시 북구 산격동 489-6번지 1층,35.8996918,128.6150366
돌스토이,대구광역시 북구 서변동 1786번지,35.9213601,128.5988248
블랙홀인형뽑기방,대구광역시 북구 동변동 493-3번지,35.921335,128.6027715
드루와,대구광역시 북구 복현동 416-1번지,35.8967619,128.6157018
우리동네뽑기대장,대구광역시 북구 동천동 909-1번지,35.9425258,128.5612866
뽀끼뽀끼,대구광역시 북구 사수동 944번지,35.9012052,128.5127602
잼스테이션,대구광역시 북구 칠성동2가 20-1번지,35.8851982,128.5898126
캠퍼스게임파크,대구광역시 북구 태전동 969-24번지,35.9269893,128.545175
월드21게임랜드,대구광역시 북구 산격동 1337-1번지,35.8928011,128.6090606
신기청소년게임,대구광역시 북구 산격동 1382-8번지,35.8881691,128.602663
사이버월드게임장,대구광역시 북구 태전동 981-1번지,35.9266782,128.5457817
펀엔조이,대구광역시 북구 동천동 894-1번지 세븐밸리,35.9441065,128.5603456
로얄오락실,대구광역시 북구 노원동3가 769-1번지 2층,35.8891152,128.5675751
황금오락실,대구광역시 북구 태전동 409-18번지,35.9229504,128.5464028
매천오락실,대구광역시 북구 매천동 618-14번지,35.9039911,128.5464386
토이랜드,대구광역시 북구 구암동 769-1번지 태을빌딩,35.9421792,128.5638788
시민게임랜드,대구광역시 북구 복현동 426-4번지 3층,35.8956336,128.6170644
보물섬,대구광역시 북구 산격동 1399-8번지 1층,35.8924734,128.6084577
뽑기뽀끼,대구광역시 북구 산격동 1393-23번지 1층,35.8926438,128.6086263
게임랜드,대구광역시 수성구 대흥동 504번지 대구스타디움몰,35.8295258,128.6902985
다나와,대구광역시 수성구 범어동 219-1번지,35.8578733,128.6406216
황금게임랜드,대구광역시 수성구 신매동 366-4번지,35.8402751,128.7085335
현대게임랜드,대구광역시 수성구 신매동 568-9번지,35.8388862,128.7074552
황금게임랜드,대구광역시 수성구 황금동 680-2번지,35.8489137,128.6235805
포니게임랜드,대구광역시 수성구 중동 188-1번지,35.8409289,128.6151959
씽씽쏭쏭,대구광역시 수성구 시지동 384-14번지,35.8412871,128.6954451
코리아게임랜드,대구광역시 수성구 신매동 10-31번지,35.8357343,128.7177931
수성게임랜드,대구광역시 수성구 만촌동 854번지,35.8562461,128.6505685
제이.제이오락실,대구광역시 수성구 황금동 766-1번지,35.8465275,128.6175539
토이랜드,대구광역시 수성구 신매동 567-58번지 1층,35.8395559,128.7073095
뽀꼬뽀꼬,대구광역시 수성구 신매동 568-8번지,35.8389197,128.7072806
오락카페 홈플러스대구수성점,대구광역시 수성구 두산동 113번지 수성 SK리더스뷰,35.8386902,128.6230824
드림게임랜드,대구광역시 수성구 수성동3가 194-2번지,35.8539205,128.6195687
토이샵,대구광역시 수성구 지산동 1288-13번지,35.8222966,128.6394093
푸시존게임랜드,대구광역시 수성구 범어동 198-6번지,35.8585303,128.6355293
큐브존 대구스타디움점,대구광역시 수성구 대흥동 504번지 대구스타디움몰,35.8295258,128.6902985
현대게임랜드,대구광역시 수성구 신매동 567-19번지 트윈빌딩,35.8391932,128.7082815
수성아케이트,대구광역시 수성구 수성동4가 1014-6번지,35.8630418,128.6181792
현대게임장,대구광역시 수성구 중동 101번지 2층,35.8441577,128.6128353
뽀바바 뽑기방,대구광역시 수성구 만촌동 852-34번지,35.8560187,128.649785
주몽오락실,대구광역시 수성구 상동 310-3번지,35.8343086,128.6118453
뽑고뽑고게임장,대구광역시 수성구 두산동 192-7번지,35.8320648,128.6217651
인형뽑기,대구광역시 수성구 대흥동 504번지,35.8298301,128.690203
별들의전쟁,대구광역시 수성구 만촌동 854-11번지 지하1층,35.8559716,128.6503382
룰루랄라,대구광역시 수성구 두산동 45-2번지,35.8363828,128.6209421
퍼니랜드,대구광역시 수성구 신매동 567-58번지,35.8395559,128.7073095
토이 N 조이,대구광역시 수성구 만촌동 853-6번지,35.8561479,128.6500684
뽑기왕루이,대구광역시 수성구 범어동 205-12번지,35.8583103,128.6358985
씽씽쏭쏭,대구광역시 수성구 황금동 731-6번지,35.8498282,128.6206893
별들의전쟁,대구광역시 수성구 만촌동 854-11번지,35.8559716,128.6503382
대박오락실,대구광역시 수성구 신매동 568-9번지,35.8388862,128.7074552
?(#) 인형뽑기,대구광역시 수성구 지산동 1283-7번지,35.8232198,128.6379979
뽑아방,대구광역시 수성구 지산동 1276-12번지,35.8225324,128.6386166
킹게임랜드,대구광역시 수성구 황금동 704-21번지,35.8494937,128.6229739
뽀바뽀바,대구광역시 달서구 이곡동 1244번지,35.8550972,128.5078496
뽑스타,대구광역시 달서구 용산동 930-14번지,35.8578077,128.5303352
둘리인형뽑기방,대구광역시 달서구 송현동 1948-12번지,35.822377,128.5485204
보물섬,대구광역시 달서구 상인동 1527-4번지,35.8133007,128.5457413
월드토이,대구광역시 달서구 용산동 935번지,35.8569029,128.5296991
보물섬,대구광역시 달서구 상인동 1469번지,35.8116074,128.5366649
토이토이인형방,대구광역시 달서구 호산동 361-7번지,35.8509781,128.4856127
놀이터뽑기방,대구광역시 달서구 송현동 160-3번지,35.8336549,128.5511714
둘리인형뽑기방,대구광역시 달서구 송현동 185-25번지,35.8305052,128.5499078
짱짱게임랜드,대구광역시 달서구 성당동 829-23번지,35.8373853,128.553576
펀앤펀,대구광역시 달서구 신당동 1721-10번지,35.8560708,128.493962
크리드샷,대구광역시 달서구 두류동 496-2번지,35.8543891,128.5519249
모찌게임장,대구광역시 달서구 상인동 240-3번지,35.8170094,128.5390163
유천샵,대구광역시 달서구 대곡동 961번지,35.8103054,128.515154
죠이월드,대구광역시 달서구 송현동 1033-1번지,35.8362377,128.5561603
